timestamp,price,Repeated Hour Flag,source_file,source_sheet
2023-01-03 07:00:00,28.31,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-03 08:00:00,20.55,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-03 09:00:00,16.44,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-03 10:00:00,14.41,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-03 11:00:00,13.77,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-03 12:00:00,14.99,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-03 13:00:00,15.65,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-03 14:00:00,15.93,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-03 15:00:00,17.12,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-03 16:00:00,19.35,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-03 17:00:00,52.57,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-03 18:00:00,40.51,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-03 19:00:00,31.62,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-03 20:00:00,29.56,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-03 21:00:00,22.84,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-03 22:00:00,18.78,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-03 23:00:00,17.51,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-04 00:00:00,15.41,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-04 01:00:00,10.75,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-04 02:00:00,10.04,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-04 03:00:00,10.05,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-04 04:00:00,12.16,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-04 05:00:00,17.78,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
2023-01-04 06:00:00,28.21,N,rpt.00013060.0000000000000000.DAMLZHBSPP_2023.xlsx,Jan
